  year  month  day    lat     lon     vgs     ugs   adts
1993.0    1.0  1.0 36.375 140.875  0.0383  0.0306 0.4970
1993.0    1.0  1.0 36.375 141.125 -0.0746  0.1331 0.5088
1993.0    1.0  1.0 36.375 141.375 -0.2250  0.1872 0.4815
1993.0    1.0  1.0 36.375 141.625 -0.2272  0.1798 0.4301
1993.0    1.0  1.0 36.375 141.875 -0.0330  0.1763 0.4034
1993.0    1.0  1.0 36.625 129.625  0.3150 -0.0421 0.4929
1993.0    1.0  1.0 36.625 129.875  0.4896 -0.0090 0.5737
1993.0    1.0  1.0 36.625 130.125  0.4806  0.0189 0.6717
1993.0    1.0  1.0 36.625 130.375  0.2421 -0.0047 0.7463
1993.0    1.0  1.0 36.625 130.625 -0.1851 -0.0693 0.7518
1993.0    1.0  1.0 36.625 130.875 -0.4919 -0.1165 0.6780
1993.0    1.0  1.0 36.625 131.125 -0.4122 -0.1015 0.5808
1993.0    1.0  1.0 36.625 131.375 -0.1118 -0.0509 0.5285
1993.0    1.0  1.0 36.625 131.625  0.0368 -0.0129 0.5251
1993.0    1.0  1.0 36.625 131.875  0.0364  0.0155 0.5334
1993.0    1.0  1.0 36.625 132.125  0.1004  0.0272 0.5453
1993.0    1.0  1.0 36.625 132.375  0.2080  0.0102 0.5769
1993.0    1.0  1.0 36.625 132.625  0.2104  0.0164 0.6233
1993.0    1.0  1.0 36.625 132.875  0.0869  0.0717 0.6560
1993.0    1.0  1.0 36.625 133.125 -0.0611  0.1229 0.6529
1993.0    1.0  1.0 36.625 133.375 -0.1359  0.1328 0.6222
1993.0    1.0  1.0 36.625 133.625 -0.0642  0.1529 0.5986
1993.0    1.0  1.0 36.625 133.875  0.0865  0.2226 0.6098
1993.0    1.0  1.0 36.625 134.125  0.1326  0.2605 0.6412
1993.0    1.0  1.0 36.625 134.375  0.0258  0.2368 0.6568
1993.0    1.0  1.0 36.625 134.625 -0.0804  0.2217 0.6461
1993.0    1.0  1.0 36.625 134.875 -0.0357  0.1998 0.6307
1993.0    1.0  1.0 36.625 135.125  0.1017  0.1430 0.6351
1993.0    1.0  1.0 36.625 135.375  0.2017  0.0827 0.6651
1993.0    1.0  1.0 36.625 135.625  0.1613  0.0449 0.7042
1993.0    1.0  1.0 36.625 135.875 -0.0375  0.0326 0.7182
1993.0    1.0  1.0 36.625 136.125 -0.1928  0.0278 0.6941
1993.0    1.0  1.0 36.625 136.375 -0.1806  0.0253 0.6463
1993.0    1.0  1.0 36.625 140.875 -0.0429  0.0104 0.4857
1993.0    1.0  1.0 36.625 141.125 -0.1655  0.0946 0.4761
1993.0    1.0  1.0 36.625 141.375 -0.2374  0.1199 0.4392
1993.0    1.0  1.0 36.625 141.625 -0.1733  0.0902 0.3951
1993.0    1.0  1.0 36.625 141.875 -0.0412  0.0739 0.3744
1993.0    1.0  1.0 36.875 129.625  0.2463 -0.0303 0.5042
1993.0    1.0  1.0 36.875 129.875  0.3804  0.0605 0.5661
1993.0    1.0  1.0 36.875 130.125  0.4115  0.1659 0.6462
1993.0    1.0  1.0 36.875 130.375  0.2716  0.2082 0.7179
1993.0    1.0  1.0 36.875 130.625 -0.0651  0.1335 0.7400
1993.0    1.0  1.0 36.875 130.875 -0.3735 -0.0303 0.6929
1993.0    1.0  1.0 36.875 131.125 -0.3929 -0.1547 0.6103
1993.0    1.0  1.0 36.875 131.375 -0.1744 -0.1470 0.5513
1993.0    1.0  1.0 36.875 131.625 -0.0257 -0.0594 0.5336
1993.0    1.0  1.0 36.875 131.875 -0.0042  0.0236 0.5293
1993.0    1.0  1.0 36.875 132.125  0.0825  0.0740 0.5334
1993.0    1.0  1.0 36.875 132.375  0.1922  0.1067 0.5631
1993.0    1.0  1.0 36.875 132.625  0.1559  0.1391 0.6019
1993.0    1.0  1.0 36.875 132.875 -0.0011  0.1731 0.6175
1993.0    1.0  1.0 36.875 133.125 -0.1155  0.1934 0.6011
1993.0    1.0  1.0 36.875 133.375 -0.1309  0.1721 0.5713
1993.0    1.0  1.0 36.875 133.625 -0.0798  0.1321 0.5495
1993.0    1.0  1.0 36.875 133.875  0.0256  0.1378 0.5466
1993.0    1.0  1.0 36.875 134.125  0.1208  0.1761 0.5649
1993.0    1.0  1.0 36.875 134.375  0.0847  0.1710 0.5867
1993.0    1.0  1.0 36.875 134.625 -0.0049  0.1133 0.5899
1993.0    1.0  1.0 36.875 134.875  0.0203  0.0568 0.5872
1993.0    1.0  1.0 36.875 135.125  0.1179  0.0606 0.5998
1993.0    1.0  1.0 36.875 135.375  0.2105  0.1148 0.6324
1993.0    1.0  1.0 36.875 135.625  0.1955  0.1380 0.6771
1993.0    1.0  1.0 36.875 135.875  0.0151  0.0997 0.7012
1993.0    1.0  1.0 36.875 136.125 -0.1404  0.0422 0.6878
1993.0    1.0  1.0 36.875 136.375 -0.1420 -0.0066 0.6504
1993.0    1.0  1.0 36.875 136.625 -0.0593 -0.0177 0.6164
1993.0    1.0  1.0 36.875 141.125 -0.1872 -0.0320 0.4749
1993.0    1.0  1.0 36.875 141.375 -0.2168 -0.0733 0.4351
1993.0    1.0  1.0 36.875 141.625 -0.1694 -0.0943 0.3950
1993.0    1.0  1.0 36.875 141.875 -0.1132 -0.0284 0.3690
1993.0    1.0  1.0 37.125 129.625  0.1337  0.0351 0.5055
1993.0    1.0  1.0 37.125 129.875  0.2147  0.1644 0.5380
1993.0    1.0  1.0 37.125 130.125  0.2897  0.2857 0.5885
1993.0    1.0  1.0 37.125 130.375  0.2859  0.3251 0.6488
1993.0    1.0  1.0 37.125 130.625  0.1252  0.2295 0.6920
1993.0    1.0  1.0 37.125 130.875 -0.1255  0.0315 0.6913
1993.0    1.0  1.0 37.125 131.125 -0.2768 -0.1395 0.6467
1993.0    1.0  1.0 37.125 131.375 -0.2454 -0.1735 0.5907
1993.0    1.0  1.0 37.125 131.625 -0.1604 -0.0892 0.5499
1993.0    1.0  1.0 37.125 131.875 -0.1076  0.0270 0.5211
1993.0    1.0  1.0 37.125 132.125 -0.0058  0.1319 0.5072
1993.0    1.0  1.0 37.125 132.375  0.1169  0.2231 0.5199
